,title,webpage_url,upload_date,view_count
0,Machine Learning Explicado,https://www.youtube.com/watch?v=0PrOA2JK6GQ,2021-02-25,190755
1,"Introdução ao Machine Learning (ML de Zero a 100, parte 1)",https://www.youtube.com/watch?v=t5z5lyrb-7s,2019-11-13,13632
2,O que é Machine Learning (Aprendizado de Máquina)?,https://www.youtube.com/watch?v=qDmojpkd8rE,2019-06-21,25319
3,Machine Learning: Tutorial prático usando apenas o navegador (é sensacional!!!),https://www.youtube.com/watch?v=JyGGMyR3x5I,2019-11-08,172677
4,O que é Machine Learning? #HipstersPontoTube,https://www.youtube.com/watch?v=Iuz_jc96bQk,2019-04-22,110988
5,"Qual a diferença entre Inteligência Artificial, Machine Learning, Data Science, Deep Learning, etc?",https://www.youtube.com/watch?v=ccZ2pyr3YDw,2019-08-23,242072
6,#4 O QUE É MACHINE LEARNING (INTELIGÊNCIA ARTIFICIAL)? #Descomplicado por Marcelo Tas,https://www.youtube.com/watch?v=Z1YHbl0lh88,2017-04-16,247644
7,Machine Learning: como ensinar uma máquina a aprender | Nerdologia Tech,https://www.youtube.com/watch?v=mhe5e2B9bL8,2018-08-30,370893
8,Machine Learning em Python: por onde começar?,https://www.youtube.com/watch?v=eqaskloXzgY,2021-03-30,6800
9,Machine Learning Full Course - Learn Machine Learning 10 Hours | Machine Learning Tutorial | Edureka,https://www.youtube.com/watch?v=GwIo3gDZCVQ,2019-09-22,1785523
10,Machine Learning Course for Beginners,https://www.youtube.com/watch?v=NWONeJKn6kc,2021-08-30,417418
11,11. Introduction to Machine Learning,https://www.youtube.com/watch?v=h0e2HAPTGF4,2017-05-19,1110759
12,Python Machine Learning Tutorial (Data Science),https://www.youtube.com/watch?v=7eh4d6sabA0,2020-09-17,860529
13,Machine Learning Basics | What Is Machine Learning? | Introduction To Machine Learning | Simplilearn,https://www.youtube.com/watch?v=ukzFI9rgwfU,2018-09-19,2417380
14,MarI/O - Machine Learning for Video Games,https://www.youtube.com/watch?v=qv6UVOQ0F44,2015-06-13,10587040
15,Computer Scientist Explains Machine Learning in 5 Levels of Difficulty | WIRED,https://www.youtube.com/watch?v=5q87K1WaoFI,2021-08-18,756844
16,"But what is a neural network? | Chapter 1, Deep learning",https://www.youtube.com/watch?v=aircAruvnKk,2017-10-05,10285721
17,Uma breve introdução ao Machine Learning,https://www.youtube.com/watch?v=WgUrONLhons,2018-05-05,2300
18,What is Machine Learning?,https://www.youtube.com/watch?v=HcqpanDadyQ,2017-08-24,795485
19,Curso Machine Learning (Parte I),https://www.youtube.com/watch?v=RYYfdOdiz6A,2020-08-02,4157
20,Seu primeiro código de Machine Learning com Python!,https://www.youtube.com/watch?v=DNegkxwQJuY,2019-07-08,73241
21,O que é MACHINE LEARNING? Introdução ao APRENDIZADO DE MÁQUINA | Machine Learning #1,https://www.youtube.com/watch?v=u8xgqvk16EA,2019-11-17,14417
22,Machine Learning & Artificial Intelligence: Crash Course Computer Science #34,https://www.youtube.com/watch?v=z-EtmaFJieY,2017-11-01,705463
23,What is Machine Learning?,https://www.youtube.com/watch?v=f_uwKZIAeM0,2017-01-11,388189
24,Machine Learning Com Excel É Possível ? (Aprendizado de Máquina) - Explicação,https://www.youtube.com/watch?v=qiE4e13iZjs,2021-07-04,243
25,💰 Machine learning na bolsa de valores // Prevendo preço das ações usando python #machinelearning,https://www.youtube.com/watch?v=VhjQwahg8MY,2020-09-10,16770
26,DATA SCIENCE - Tutorial para Você Criar Seu Primeiro Projeto de Machine Learning na Prática!!,https://www.youtube.com/watch?v=tsVWd6I5nuk,2020-06-10,14819
27,Intro to Machine Learning (ML Zero to Hero - Part 1),https://www.youtube.com/watch?v=KNAWp2S3w94,2019-08-30,610097
28,Como me tornar um Engenheiro de Machine Learning? Como é a demanda por esse profissional?,https://www.youtube.com/watch?v=WGLqGQD-hs8,2021-05-14,2564
29,Como funciona o Machine Learning? | #AluraMais,https://www.youtube.com/watch?v=CAu97npy7zQ,2021-02-22,2261
30,Machine Learning: Living in the Age of AI | A WIRED Film,https://www.youtube.com/watch?v=ZJixNvx9BAc,2019-06-20,1295986
31,Machine Learning do zero em Python,https://www.youtube.com/watch?v=GPdQnHAiGWo,2020-12-21,5589
32,"Diferença entre Inteligência Artificial, Machine Learning e Ciência de Dados",https://www.youtube.com/watch?v=EPOFDThilZE,2021-03-19,2864
33,Aplicações Práticas de Machine Learning,https://www.youtube.com/watch?v=Vh3pXNUuWws,2015-01-30,32587
34,O que é Machine Learning?,https://www.youtube.com/watch?v=fNp_jRDLnB8,2017-08-10,8035
35,Matemática para Machine Learning (o que estudar?),https://www.youtube.com/watch?v=MSHpE9dnIho,2019-04-16,16914
36,All Machine Learning Models Explained in 5 Minutes | Types of ML Models Basics,https://www.youtube.com/watch?v=yN7ypxC7838,2020-05-15,337659
37,What is Machine Learning?,https://www.youtube.com/watch?v=9gGnTQTYNaE,2021-07-14,14832
38,Machine Learning Zero to Hero (Google I/O'19),https://www.youtube.com/watch?v=VwVg9jCtqaU,2019-05-09,1481118
39,🖥️ HOW TO GET STARTED WITH MACHINE LEARNING!,https://www.youtube.com/watch?v=I74ymkoNTnw,2018-02-20,844388
40,Machine Learning Fundamentals: Bias and Variance,https://www.youtube.com/watch?v=EuBBz3bI-aA,2018-09-17,674562
41,As TOP 5 Linguagens para INTELIGÊNCIA ARTIFICIAL e MACHINE LEARNING (2019) // Vlog #97,https://www.youtube.com/watch?v=wD5lpZI6jeY,2019-06-20,58343
42,O que é e como funciona Machine Learning? (Cases de soluções reais),https://www.youtube.com/watch?v=-VveKDImfCY,2021-05-25,18856
43,2020 Machine Learning Roadmap (still valid for 2021),https://www.youtube.com/watch?v=pHiMN_gy9mk,2020-07-12,619196
44,Sua primeira aplicação de Machine Learning no Power BI,https://www.youtube.com/watch?v=GHt92VC6Pno,2021-07-11,3259
45,What is Machine Learning?,https://www.youtube.com/watch?v=QghjaS0WQQU,2018-02-22,29867
46,Machine Learning: Como fazer sua primeira máquina de aprendizado usando Python,https://www.youtube.com/watch?v=iYg-2sEC3NY,2017-07-30,62388
47,Machine Learning Explained in 100 Seconds,https://www.youtube.com/watch?v=PeMlggyqz0Y,2021-09-09,142072
48,Todos podemos aprender Machine learning,https://www.youtube.com/watch?v=7ClLKBUvmRk,2017-10-08,304453
49,House Price Prediction using Machine Learning | Machine Learning Projects 2 | ML Edureka | Rewind 6,https://www.youtube.com/watch?v=ta3Wd6Q5Byc,2021-12-10,2059
50,Machine Learning With Python Full Course In 9 Hours | Machine Learning Tutorial | Simplilearn,https://www.youtube.com/watch?v=eq7KF7JTinU,2020-12-24,81691
51,Machine Learning with Python | Machine Learning Tutorial for Beginners | Machine Learning Tutorial,https://www.youtube.com/watch?v=RnFGwxJwx-0,2020-02-13,970938
52,What's new in Machine Learning | Keynote,https://www.youtube.com/watch?v=qKkjCQlS1g4,2021-05-19,81640
53,Machine Learning: Entenda todos os tipos,https://www.youtube.com/watch?v=-eypYnAMlsc,2021-04-16,1337
54,"AWS re:Invent 2021 - Database, Analytics, and Machine Learning Keynote with Swami Sivasubramanian",https://www.youtube.com/watch?v=ue9aumC7AAk,2021-12-01,85593
55,The Mathematics of Machine Learning,https://www.youtube.com/watch?v=Rt6beTKDtqY,2018-11-30,333466
56,O Que é Machine Learning? Evoluindo a Inteligência Artificial,https://www.youtube.com/watch?v=C58jMu3Bhig,2021-06-08,3647
57,Software Engineering or Machine Learning: What's a better career?,https://www.youtube.com/watch?v=FkqF2Nq062o,2020-08-13,42623
58,Machine Learning Vs Artificial Intelligence? Same or Different?,https://www.youtube.com/watch?v=6Hm1pNqQxq0,2018-03-29,695811
59,Support Vector Machine (SVM) Basic Intuition- Part 1| Machine Learning,https://www.youtube.com/watch?v=H9yACitf-KM,2020-04-28,162907
60,Machine Learning full course in telugu|learn machine learning in telugu|beginners|#pythonlife,https://www.youtube.com/watch?v=UehuI1w10lg,2021-05-26,31281
61,Machine Learning Full Course in Hindi | Learn Machine Learning in 5 Hours | Great Learning,https://www.youtube.com/watch?v=IoZGSQ07e8g,2021-05-22,105661
62,what is Machine Learning in telugu,https://www.youtube.com/watch?v=H6Zpk5lL_1s,2018-03-30,55932
63,Introduction To Machine Learning ll Machine Learning Course Explained With RealLife Examples (Hindi),https://www.youtube.com/watch?v=Y4qO9unerGs,2019-02-17,241411
64,Machine Learningஎன்றால் என்ன?| What Is Machine Learning in Tamil ?| Introduction to Machine Learning,https://www.youtube.com/watch?v=HyQVy77-gpE,2020-05-21,28425
65,HALO REACH - BIRTH OF A SPARTAN 8K Upscaled Trailer (Machine Learning AI) Ultra HD,https://www.youtube.com/watch?v=eSai3xHEh4U,2021-12-07,9246
66,Apple's M1 Pro and M1 Max are faster than Google Colab (machine learning speed test),https://www.youtube.com/watch?v=JWYsWhR3Pxg,2021-12-05,11987
67,Building Machine Learning models with Edge Impulse,https://www.youtube.com/watch?v=gw1E5JZTim0,2021-11-11,2264501
68,Is this still the best book on Machine Learning?,https://www.youtube.com/watch?v=gJ9NcxPUSPE,2020-08-05,152007
69,"Introduction to Artificial Intelligence, Machine Learning, Deep Learning in Telugu | Vamsi Bhavani",https://www.youtube.com/watch?v=7jVKwYQdKww,2020-01-08,89901
70,How to deploy machine learning models into production,https://www.youtube.com/watch?v=-UYyyeYJAoQ,2018-07-12,102959
71,5 Awesome Machine Learning Projects Using Python | Python Explained,https://www.youtube.com/watch?v=pkm1h2X90Nc,2021-07-05,25777
72,"Deep Learning with Python, TensorFlow, and Keras tutorial",https://www.youtube.com/watch?v=wQ8BIBpya2k,2018-08-11,1002658
73,Machine Learning Engineer Roadmap | Machine Learning Engineer Skills | Machine Learning Expert,https://www.youtube.com/watch?v=T4MLrtOKPjY,2021-05-11,61864
74,"Gradient descent, how neural networks learn | Chapter 2, Deep learning",https://www.youtube.com/watch?v=IHZwWFHWa-w,2017-10-16,4243114
75,Machine Learning Engineer Course | Learn Machine Learning | Machine Learning Tutorial | Simplilearn,https://www.youtube.com/watch?v=6U4y8k4iMm8,2021-07-09,8518
76,"100 Days Of Machine Learning Day 1 | Machine Learning, Supervised Learning, Quiz",https://www.youtube.com/watch?v=4efNQh_0XTM,2021-09-26,35110
77,Linear Regression Algorithm | Linear Regression in Python | Machine Learning Algorithm | Edureka,https://www.youtube.com/watch?v=E5RjzSK0fvY,2018-06-26,549561
78,Spotting and solving everyday problems with machine learning | Session,https://www.youtube.com/watch?v=_1QtMPuYIVw,2021-05-19,110018
79,Top 5 BEST Countries For Machine Learning Engineers,https://www.youtube.com/watch?v=quLDA1eB-sE,2021-05-27,4410
80,Vale a Pena Fazer o Novo Curso de Machine Learning do Andrew Ng no Coursera? (REVIEW MLOps),https://www.youtube.com/watch?v=ciiqcwYagHY,2021-05-18,2439
81,Data Science VS Machine Learning: Which One To Pick For 2021-2022!,https://www.youtube.com/watch?v=EIJecEBETso,2021-05-23,8468
82,How to get involved in Machine Learning,https://www.youtube.com/watch?v=ieNMP8OkNn4,2021-11-12,1040237
83,Machine Learning Algorithms | Machine Learning Tutorial | Data Science Algorithms | Simplilearn,https://www.youtube.com/watch?v=I7NrVwm3apg,2018-03-21,209057
84,Things I Wish I Knew When I Started Getting Into Machine Learning | #Shorts,https://www.youtube.com/watch?v=0y_XP65_6o4,2021-08-25,11813
85,"Machine Learning Forecasting with Elasticsearch, Elastic Stack (ELK Stack)",https://www.youtube.com/watch?v=wJVgh5knV4E,2018-04-03,28900
86,Life as an AI Researcher & Machine Learning Engineer | Technology | J.P. Morgan,https://www.youtube.com/watch?v=kKYloh7_k5s,2020-02-27,431370
87,Ensemble Learning | Ensemble Learning In Machine Learning | Machine Learning Tutorial | Simplilearn,https://www.youtube.com/watch?v=WtWxOhhZWX0,2020-05-24,29049
88,Unsupervised Machine Learning: Crash Course Statistics #37,https://www.youtube.com/watch?v=IUn8k5zSI6g,2018-11-07,61048
89,Machine learning For Beginners in Hindi,https://www.youtube.com/watch?v=17tGxiPatPg,2019-02-21,45270
90,Machine Learning para prever fake news usando python #machinelearning,https://www.youtube.com/watch?v=UMw5-PhRZS0,2021-05-31,380
91,AI vs Machine Learning vs Deep Learning | Machine Learning Training with Python | Edureka,https://www.youtube.com/watch?v=WSbgixdC9g8,2018-03-29,1155957
92,"Machine Learning PhD Survival Guide 2021 | Advice on Topic Selection, Papers, Conferences & more!",https://www.youtube.com/watch?v=rHQPBqMULXo,2021-03-30,40115
93,DIFERENCIA ENTRE INTELIGENCIA ARTIFICIAL - MACHINE LEARNING - DEEP LEARNING,https://www.youtube.com/watch?v=6iVUKYgOihQ,2018-04-14,86021
94,Deep Learning Basics: Introduction and Overview,https://www.youtube.com/watch?v=O5xeyoRL95U,2019-01-11,1158093
95,Machine learning tools from Google 2021 | Keynote,https://www.youtube.com/watch?v=ysOeGe0SCls,2021-11-09,1022625
96,"Future of Making: AI, Machine Learning and Generative Design",https://www.youtube.com/watch?v=8t13uQYHeX4,2020-05-13,8437
97,AI: What is Machine Learning?,https://www.youtube.com/watch?v=OeU5m6vRyCk,2019-12-02,55419
98,"Machine learning algorithms, choosing the correct algorithm for your problem - Joakim Lehn",https://www.youtube.com/watch?v=_3eaVy8c-xk,2018-08-28,49068
99,Deep Learning: A Crash Course,https://www.youtube.com/watch?v=r0Ogt-q956I,2018-08-12,1447276
100,Machine Learning vs Deep Learning vs Artificial Intelligence | ML vs DL vs AI | Simplilearn,https://www.youtube.com/watch?v=9dFhZFUkzuQ,2018-02-20,293122
101,"Boosting Machine Learning Tutorial | Adaptive Boosting, Gradient Boosting, XGBoost | Edureka",https://www.youtube.com/watch?v=kho6oANGu_A,2019-06-27,76463
102,Decision Tree In Machine Learning | Decision Tree Algorithm In Python |Machine Learning |Simplilearn,https://www.youtube.com/watch?v=RmajweUFKvM,2018-03-20,184328
103,BEST MACHINE LEARNING PROJECT IDEAS,https://www.youtube.com/watch?v=BaBIVUvJ0ek,2021-04-21,22740
104,What's new in Android Machine Learning | Session,https://www.youtube.com/watch?v=uTCQ8rAdPGE,2021-05-18,7612
105,Getting Started with Weka - Machine Learning Recipes #10,https://www.youtube.com/watch?v=TF1yh5PKaqI,2018-02-22,188989
106,O que é machine learning ou aprendizado de máquina?,https://www.youtube.com/watch?v=tWBaqPFSYXk,2018-11-26,1240
107,IoT and Machine Learning - Changing the Future | Dr. Dennis Ong | TEDxOhioStateUniversity,https://www.youtube.com/watch?v=mlE03Fj2T9s,2018-04-10,52798
108,Machine Learning for Fluid Mechanics,https://www.youtube.com/watch?v=8e3OT2K99Kw,2020-11-13,80722
109,"Simplified Machine Learning on mobile, browsers, and edge devices with on-device ML",https://www.youtube.com/watch?v=Ka_qRt8_Glw,2021-11-10,413699
110,سلسلة مفاهيم #1 - What is Machine learning  ما هو تعليم الآله شرح  -,https://www.youtube.com/watch?v=Yy1fAw6IX5E,2020-07-27,30128
111,7 Steps to Build a Machine Learning Model,https://www.youtube.com/watch?v=IzcX9bTJLj8,2021-04-12,2177
112,Machine Learning for JavaScript Developers 101,https://www.youtube.com/watch?v=47xeOwLLWDc,2021-02-03,11945
113,How Machine Learning is Transforming Radiology | Chad McClennan | TEDxNorthwesternU,https://www.youtube.com/watch?v=OvIJkSmIAuY,2019-06-13,7027
114,What is Machine Learning and how to Learn it | Future scope and Best resources!,https://www.youtube.com/watch?v=Tbvrg9Cqq9Y,2020-12-29,53180
115,Intro to machine learning on Google Cloud Platform (Google I/O '18),https://www.youtube.com/watch?v=gVz9jKE_9iU,2018-05-10,83218
116,Machine Learning Model Evaluation Metrics,https://www.youtube.com/watch?v=wpQiEHYkBys,2019-05-08,24592
117,Introduction to Machine Learning with Time Series || Markus Loning,https://www.youtube.com/watch?v=wqQKFu41FIw,2020-09-26,72470
118,Optimizando procesos en la construcción con Machine Learning,https://www.youtube.com/watch?v=VvbTcPx5QP4,2019-08-07,15664
119,Software Engineering or Machine Learning: What's a better career?,https://www.youtube.com/watch?v=FkqF2Nq062o,2020-08-13,42623
120,Machine Learning with R | Machine Learning Algorithms | Data Science Training | Edureka,https://www.youtube.com/watch?v=SeyghJ5cdm4,2018-04-02,84372
121,Complete Machine Learning Roadmap | How to Learn Machine Learning,https://www.youtube.com/watch?v=syhubxG-Kno,2021-06-12,14418
122,Deploy Machine Learning Model using Amazon SageMaker | How to Deploy ML Models on AWS | Edureka,https://www.youtube.com/watch?v=6cg5ERPQ2v8,2021-03-21,12714
123,Ensemble Learning Tutorial | Ensemble Techniques | Machine Learning Training | Edureka,https://www.youtube.com/watch?v=CDewPfLV4Tc,2021-05-03,7273
124,MIT Introduction to Deep Learning | 6.S191,https://www.youtube.com/watch?v=5tvmMX8r_OM,2021-02-05,414902
125,Step By Step Process To Learn Machine Learning Algorithm Efficiently,https://www.youtube.com/watch?v=qPIaYD96sXU,2020-04-24,50481
126,Support Vector Machine - How Support Vector Machine Works | SVM In Machine Learning | Simplilearn,https://www.youtube.com/watch?v=TtKF996oEl8,2018-04-03,149551
